ssn,age,education,marital-status,relationship,sex,income
723-72-3723,,HS-grad,,Own-child,,
940-94-0940,46.0,,,Unmarried,Female,
545-54-5545,31.0,,Never-married,Own-child,,
013-01-3013,,,Never-married,Own-child,,<=50K
039-03-9039,59.0,Some-college,Never-married,Not-in-family,,
157-15-7157,29.0,Bachelors,,Own-child,,
083-08-3083,59.0,Some-college,Divorced,Not-in-family,Male,
768-76-8768,18.0,,Never-married,,,<=50K
222-22-2222,24.0,Bachelors,Never-married,,Male,
725-72-5725,44.0,Some-college,Divorced,Not-in-family,,
111-11-1111,19.0,10th,Never-married,,,<=50K
460-46-0460,23.0,HS-grad,,Other-relative,Male,
996-99-6996,24.0,,Married-civ-spouse,Own-child,Female,<=50K
660-66-0660,33.0,Assoc-voc,Never-married,,Male,
585-58-5585,25.0,,Married-civ-spouse,Husband,Male,<=50K
733-73-3733,34.0,Some-college,Married-civ-spouse,Husband,,<=50K
283-28-3283,34.0,HS-grad,Married-civ-spouse,Husband,Male,
427-42-7427,36.0,Assoc-voc,Married-spouse-absent,,Female,<=50K
478-47-8478,,Some-college,Widowed,,,<=50K
869-86-9869,42.0,HS-grad,Married-civ-spouse,,Male,
286-28-6286,35.0,Bachelors,Married-civ-spouse,,,>50K
773-77-3773,42.0,Masters,Married-civ-spouse,,Male,>50K
238-23-8238,28.0,Bachelors,Never-married,Not-in-family,Female,
657-65-7657,29.0,HS-grad,Married-civ-spouse,,,
631-63-1631,34.0,,Married-civ-spouse,Husband,,>50K
959-95-9959,24.0,HS-grad,Never-married,Own-child,,
548-54-8548,56.0,Prof-school,Married-civ-spouse,Husband,Male,
710-71-0710,52.0,HS-grad,Divorced,,Female,<=50K
626-62-6626,61.0,Bachelors,,Other-relative,,<=50K
535-53-5535,,Assoc-acdm,,Not-in-family,Female,
615-61-5615,40.0,Assoc-acdm,,Husband,,
814-81-4814,34.0,HS-grad,,,Female,
892-89-2892,,HS-grad,,Not-in-family,,
577-57-7577,28.0,HS-grad,,Own-child,,<=50K
482-48-2482,46.0,Prof-school,Married-civ-spouse,Husband,Male,<=50K
693-69-3693,30.0,7th-8th,,Own-child,Female,<=50K
447-44-7447,24.0,,Never-married,Own-child,Female,<=50K
291-29-1291,18.0,Some-college,Never-married,Own-child,Male,
325-32-5325,56.0,,Widowed,,,<=50K
091-09-1091,52.0,Doctorate,Divorced,Unmarried,Female,>50K
547-54-7547,28.0,HS-grad,,Not-in-family,,>50K
896-89-6896,45.0,HS-grad,Divorced,Not-in-family,,
888-88-8888,70.0,Some-college,Widowed,Unmarried,Female,<=50K
070-07-0070,53.0,Masters,Married-civ-spouse,Husband,Male,
058-05-8058,30.0,Bachelors,,Unmarried,,
278-27-8278,,Masters,Never-married,Unmarried,Female,
506-50-6506,61.0,,Married-civ-spouse,Husband,,
367-36-7367,,HS-grad,,Husband,Male,
247-24-7247,37.0,,Divorced,Not-in-family,,
562-56-2562,31.0,Assoc-voc,,Not-in-family,,
680-68-0680,32.0,Bachelors,Divorced,Own-child,,>50K
842-84-2842,33.0,Some-college,Never-married,Not-in-family,,<=50K
031-03-1031,,HS-grad,Never-married,,Female,
705-70-5705,35.0,Bachelors,Married-civ-spouse,Husband,,
927-92-7927,36.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
948-94-8948,56.0,,Married-civ-spouse,Husband,,
537-53-7537,43.0,HS-grad,Never-married,Unmarried,Female,
713-71-3713,42.0,HS-grad,Married-civ-spouse,Husband,,>50K
696-69-6696,31.0,,Never-married,Not-in-family,Female,
440-44-0440,26.0,7th-8th,Married-civ-spouse,Husband,Male,<=50K
712-71-2712,39.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
599-59-9599,,HS-grad,Married-civ-spouse,Husband,Male,>50K
473-47-3473,40.0,Prof-school,Separated,Unmarried,Female,<=50K
516-51-6516,41.0,10th,Married-civ-spouse,Husband,Male,<=50K
385-38-5385,39.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
274-27-4274,25.0,Some-college,,Not-in-family,Male,
846-84-6846,30.0,,,,Female,
881-88-1881,,,Married-civ-spouse,Husband,Male,>50K
584-58-4584,,HS-grad,Divorced,,Female,<=50K
952-95-2952,52.0,Some-college,Married-civ-spouse,Husband,Male,
033-03-3033,45.0,Some-college,Widowed,,Female,<=50K
014-01-4014,64.0,Bachelors,Never-married,Not-in-family,Female,<=50K
650-65-0650,41.0,Some-college,Married-civ-spouse,,Male,>50K
322-32-2322,28.0,Some-college,Never-married,Own-child,,<=50K
204-20-4204,52.0,,,Wife,Female,>50K
126-12-6126,41.0,HS-grad,Married-civ-spouse,Husband,Male,
849-84-9849,30.0,HS-grad,Married-civ-spouse,Husband,Male,
235-23-5235,30.0,Bachelors,,Husband,,
067-06-7067,59.0,5th-6th,Married-civ-spouse,Husband,Male,
345-34-5345,30.0,Some-college,,Husband,Male,
666-66-6666,25.0,HS-grad,Never-married,Not-in-family,Male,
346-34-6346,21.0,,Never-married,Not-in-family,,
077-07-7077,54.0,HS-grad,Married-civ-spouse,Husband,,>50K
279-27-9279,34.0,,Never-married,Unmarried,,>50K
166-16-6166,41.0,9th,Never-married,Own-child,Male,
966-96-6966,,Some-college,Married-civ-spouse,Husband,,
687-68-7687,26.0,Bachelors,Married-civ-spouse,Other-relative,Male,<=50K
889-88-9889,28.0,HS-grad,,Husband,Male,
483-48-3483,20.0,HS-grad,Never-married,Own-child,,
503-50-3503,82.0,7th-8th,Married-civ-spouse,,Male,<=50K
417-41-7417,64.0,Bachelors,Widowed,Not-in-family,,<=50K
690-69-0690,64.0,Some-college,Never-married,Unmarried,Female,
151-15-1151,35.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
943-94-3943,46.0,,Never-married,Unmarried,Female,
315-31-5315,30.0,,Married-civ-spouse,Husband,,<=50K
608-60-8608,55.0,,Married-civ-spouse,Husband,,
415-41-5415,20.0,,Never-married,Own-child,,<=50K
597-59-7597,73.0,10th,,Husband,,<=50K
480-48-0480,38.0,,Married-civ-spouse,,Male,<=50K
154-15-4154,42.0,10th,,Husband,,
534-53-4534,31.0,Assoc-voc,Never-married,Unmarried,Female,>50K
877-87-7877,34.0,HS-grad,Married-civ-spouse,Husband,,<=50K
964-96-4964,42.0,Some-college,,Wife,Female,<=50K
983-98-3983,23.0,HS-grad,,,Female,
094-09-4094,33.0,Some-college,Married-civ-spouse,Husband,,
451-45-1451,23.0,Some-college,Never-married,Own-child,Male,<=50K
864-86-4864,21.0,HS-grad,Never-married,Own-child,Female,<=50K
669-66-9669,20.0,HS-grad,Never-married,Own-child,,<=50K
954-95-4954,38.0,,Married-civ-spouse,Husband,Male,
497-49-7497,39.0,Masters,Married-civ-spouse,,Male,>50K
558-55-8558,41.0,,Never-married,Not-in-family,Male,<=50K
823-82-3823,48.0,9th,,,,
638-63-8638,41.0,,Separated,Unmarried,Female,<=50K
681-68-1681,64.0,7th-8th,Married-civ-spouse,Husband,Male,
113-11-3113,40.0,1st-4th,Never-married,,Male,>50K
056-05-6056,56.0,Bachelors,Married-spouse-absent,Not-in-family,,<=50K
790-79-0790,36.0,Bachelors,Divorced,,,>50K
972-97-2972,21.0,Some-college,Never-married,Own-child,,<=50K
809-80-9809,,11th,,,Male,
682-68-2682,31.0,Masters,Divorced,Unmarried,Male,
635-63-5635,,Some-college,Divorced,Unmarried,Female,
249-24-9249,29.0,,Never-married,Not-in-family,Male,
514-51-4514,24.0,11th,Never-married,,,<=50K
104-10-4104,17.0,Some-college,Never-married,Own-child,Female,<=50K
968-96-8968,32.0,,Never-married,Not-in-family,Male,>50K
955-95-5955,23.0,Some-college,Never-married,Own-child,,
854-85-4854,43.0,Assoc-acdm,Married-civ-spouse,Husband,,
686-68-6686,26.0,Masters,Married-civ-spouse,Husband,Male,
292-29-2292,53.0,Some-college,,Unmarried,Male,>50K
500-50-0500,44.0,1st-4th,Married-civ-spouse,Husband,Male,
572-57-2572,23.0,,Never-married,Own-child,,
532-53-2532,17.0,9th,Never-married,Not-in-family,Male,<=50K
418-41-8418,52.0,Bachelors,Married-civ-spouse,Husband,,<=50K
004-00-4004,45.0,Bachelors,Married-civ-spouse,Husband,,>50K
536-53-6536,45.0,11th,Divorced,Own-child,Female,<=50K
587-58-7587,29.0,,Divorced,Own-child,Female,
173-17-3173,,HS-grad,Never-married,Own-child,Male,<=50K
861-86-1861,62.0,,Widowed,Unmarried,,
366-36-6366,32.0,,Divorced,Unmarried,Female,
