ssn,age,education,marital-status,relationship,sex,income
267-84-3980,31.0,,Never-married,Not-in-family,Male,<=50K
918-21-2529,30.0,HS-grad,Divorced,Unmarried,,
886-64-0048,22.0,,,,,<=50K
590-01-8426,43.0,Assoc-acdm,,Unmarried,Male,>50K
852-21-1301,33.0,Assoc-voc,Never-married,,Male,
875-79-8524,47.0,Some-college,,Husband,,
091-55-4053,49.0,HS-grad,Married-civ-spouse,,Male,
335-53-4397,29.0,Bachelors,Married-civ-spouse,,,<=50K
548-37-2235,44.0,Bachelors,Married-civ-spouse,Wife,,
696-62-1620,44.0,HS-grad,Divorced,Not-in-family,Male,<=50K
283-81-4496,49.0,HS-grad,,Wife,,
509-67-4446,,HS-grad,,Other-relative,Male,
610-99-5085,37.0,HS-grad,Married-civ-spouse,Husband,,<=50K
314-03-5626,58.0,7th-8th,,Husband,,
397-88-0834,,Masters,Divorced,Not-in-family,Female,
294-44-1031,23.0,Some-college,,Not-in-family,Female,<=50K
174-66-2161,37.0,,,Not-in-family,Female,<=50K
627-94-8402,43.0,Some-college,Widowed,,,
768-98-0343,,HS-grad,Married-civ-spouse,Husband,,<=50K
179-02-3341,27.0,,Never-married,Own-child,,<=50K
740-69-4102,,11th,Never-married,Own-child,,<=50K
045-08-5995,31.0,Assoc-voc,Married-civ-spouse,Husband,,<=50K
850-52-2112,19.0,HS-grad,Married-civ-spouse,Own-child,Male,
819-13-3905,,,Never-married,Not-in-family,,<=50K
678-04-0539,45.0,5th-6th,Divorced,Not-in-family,Female,
684-15-2333,36.0,Some-college,,Husband,,
454-63-7591,,Masters,Divorced,Not-in-family,Female,>50K
075-82-9238,23.0,HS-grad,Never-married,Own-child,,
350-12-2849,38.0,5th-6th,Married-civ-spouse,Husband,Male,>50K
928-77-7640,30.0,Some-college,Never-married,Not-in-family,Male,>50K
068-64-2506,36.0,,Divorced,,Male,>50K
881-38-8205,50.0,Masters,Never-married,,,>50K
179-48-4029,25.0,,,Husband,Male,<=50K
717-78-2554,33.0,10th,Married-civ-spouse,,,
188-39-0663,38.0,,Never-married,,Female,<=50K
080-86-6093,24.0,HS-grad,Married-civ-spouse,,,
031-14-2506,26.0,HS-grad,,Not-in-family,,<=50K
233-10-8107,53.0,5th-6th,Married-civ-spouse,Husband,,>50K
253-53-1940,36.0,,,Not-in-family,,
301-38-2063,63.0,HS-grad,Never-married,,,<=50K
832-86-2407,44.0,Masters,,Unmarried,Male,
024-63-1449,49.0,HS-grad,Married-civ-spouse,Husband,Male,
496-65-2333,34.0,HS-grad,,Husband,,<=50K
343-61-1793,40.0,Masters,Never-married,Not-in-family,Female,<=50K
376-71-9901,71.0,Bachelors,Never-married,Other-relative,,<=50K
705-03-6854,88.0,HS-grad,Widowed,,,<=50K
213-45-2088,60.0,HS-grad,,Husband,Male,<=50K
817-62-8991,84.0,Masters,Never-married,Not-in-family,Female,
476-93-4888,49.0,,Married-civ-spouse,Husband,Male,
704-29-9753,,9th,Married-civ-spouse,,Male,
741-06-2652,32.0,HS-grad,,Not-in-family,,
397-66-5847,,Assoc-acdm,Never-married,Not-in-family,Male,
711-27-1498,47.0,9th,Married-spouse-absent,,,
621-19-1645,20.0,,Never-married,Own-child,Female,
480-28-2554,28.0,HS-grad,Married-civ-spouse,Husband,Male,
868-94-9630,33.0,,,,Female,>50K
937-22-3586,17.0,HS-grad,Separated,,,
773-74-0785,49.0,,Married-civ-spouse,Husband,Male,
942-10-6878,49.0,Bachelors,Never-married,Not-in-family,Male,<=50K
413-48-2800,62.0,10th,Married-civ-spouse,Husband,Male,>50K
388-17-5675,28.0,Assoc-voc,Married-civ-spouse,Wife,Female,>50K
364-40-4176,18.0,Some-college,Never-married,,Female,<=50K
167-13-7591,37.0,HS-grad,Married-civ-spouse,Husband,,<=50K
013-26-7813,42.0,Bachelors,Never-married,Not-in-family,Female,
689-77-2726,21.0,HS-grad,Never-married,Own-child,Male,<=50K
772-08-2308,33.0,Bachelors,Never-married,Not-in-family,Male,
285-19-6559,19.0,11th,Never-married,Own-child,,
607-98-5257,37.0,Some-college,,,Female,
395-14-7419,41.0,,Divorced,Not-in-family,,<=50K
649-90-7861,44.0,Bachelors,,,Female,<=50K
117-13-7592,57.0,,Married-civ-spouse,Husband,,<=50K
567-07-6166,48.0,Masters,Married-civ-spouse,Husband,Male,<=50K
164-55-7739,44.0,,Widowed,Not-in-family,,<=50K
557-09-4594,47.0,Prof-school,Married-civ-spouse,Husband,,>50K
440-29-4839,22.0,Assoc-voc,,Not-in-family,,<=50K
305-98-8943,22.0,HS-grad,Never-married,Own-child,Female,
830-37-4692,51.0,9th,Married-civ-spouse,,Male,
420-70-0245,39.0,,Never-married,Own-child,Female,
358-04-6682,28.0,Masters,Married-civ-spouse,Husband,Male,>50K
662-53-0711,28.0,HS-grad,Never-married,Not-in-family,Female,<=50K
841-89-1891,30.0,HS-grad,,,Male,<=50K
716-92-2603,52.0,Bachelors,Married-civ-spouse,Husband,Male,
218-88-8206,26.0,Some-college,Separated,Unmarried,Female,<=50K
272-38-9434,39.0,Some-college,Married-civ-spouse,,,>50K
950-15-3561,34.0,Masters,Married-civ-spouse,Husband,,
442-16-8304,,,Never-married,,Male,
486-48-6486,64.0,Some-college,Married-civ-spouse,Husband,Male,
734-21-3758,42.0,9th,Never-married,Unmarried,Female,
562-22-3586,31.0,HS-grad,,Own-child,,<=50K
522-48-1571,45.0,HS-grad,Divorced,Unmarried,,
708-26-1670,24.0,,Never-married,Not-in-family,Male,<=50K
720-39-3119,29.0,HS-grad,Married-civ-spouse,Husband,,<=50K
277-48-7714,51.0,Assoc-acdm,Married-civ-spouse,Wife,Female,<=50K
217-72-1130,34.0,,,Husband,,
046-62-1621,32.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
910-56-5109,49.0,Masters,Divorced,Not-in-family,Female,<=50K
219-04-1768,52.0,HS-grad,,Unmarried,,
481-20-3930,,HS-grad,Divorced,Not-in-family,Female,
435-90-2947,27.0,Bachelors,,Husband,,
955-06-7566,41.0,HS-grad,Never-married,,Female,<=50K
475-15-3562,75.0,HS-grad,Married-civ-spouse,,,<=50K
790-47-9114,33.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
797-35-8721,55.0,Some-college,,,,<=50K
049-50-8599,26.0,Bachelors,Never-married,Other-relative,,<=50K
246-31-4496,31.0,11th,Married-civ-spouse,Husband,Male,
782-49-3856,38.0,,Widowed,Unmarried,,<=50K
233-35-3808,38.0,Some-college,Never-married,,,<=50K
661-48-6485,61.0,Some-college,,Not-in-family,,
456-08-1080,26.0,,,Not-in-family,Male,<=50K
108-10-8108,47.0,Some-college,,Husband,,>50K
669-96-3144,59.0,10th,Married-civ-spouse,Husband,Male,<=50K
731-63-3905,67.0,,Never-married,Not-in-family,,<=50K
160-53-4397,72.0,9th,Married-civ-spouse,Husband,,<=50K
326-99-6314,34.0,HS-grad,,Other-relative,Male,
407-21-7444,21.0,Assoc-voc,Never-married,Own-child,,<=50K
435-53-4397,36.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
616-52-3340,23.0,Some-college,,,,>50K
433-78-3783,25.0,HS-grad,Never-married,,,
128-25-5528,45.0,HS-grad,Married-civ-spouse,Husband,,
812-22-3586,61.0,11th,,Not-in-family,,
880-06-7566,21.0,HS-grad,Never-married,Own-child,,<=50K
445-48-5257,37.0,Bachelors,Separated,Not-in-family,Male,
455-15-9704,39.0,HS-grad,Divorced,Unmarried,,
832-18-6731,48.0,HS-grad,Married-civ-spouse,Husband,,<=50K
710-16-5846,45.0,Doctorate,Married-civ-spouse,Husband,Male,>50K
032-37-1007,48.0,Some-college,Married-civ-spouse,Husband,,<=50K
928-96-1915,63.0,,,,Female,<=50K
251-28-9926,49.0,Assoc-voc,Married-civ-spouse,Husband,Male,<=50K
333-20-0245,22.0,HS-grad,Divorced,Not-in-family,,<=50K
841-06-2652,22.0,HS-grad,,,Male,<=50K
722-78-8697,73.0,7th-8th,,Husband,,<=50K
188-45-2088,22.0,,Married-civ-spouse,Husband,Male,<=50K
446-99-0171,25.0,,Married-civ-spouse,Wife,Female,
050-76-7813,42.0,Some-college,,Not-in-family,Male,<=50K
241-79-9754,31.0,,Never-married,,,<=50K
159-61-3021,57.0,Some-college,Married-civ-spouse,Husband,,>50K
825-98-2800,38.0,,Married-civ-spouse,Husband,,<=50K
085-59-5823,39.0,Masters,Married-civ-spouse,,,<=50K
862-16-2161,17.0,Some-college,Divorced,Other-relative,,<=50K
168-79-6068,,Some-college,Never-married,Not-in-family,Male,
877-73-3414,43.0,HS-grad,Never-married,,,<=50K
106-14-2506,30.0,Assoc-voc,Divorced,Not-in-family,Male,<=50K
672-48-1571,49.0,Bachelors,Married-civ-spouse,Husband,Male,>50K
673-40-2947,24.0,Assoc-acdm,Never-married,Own-child,,<=50K
651-35-1350,22.0,10th,Separated,,,
270-23-9557,28.0,HS-grad,,,,>50K
841-55-4053,17.0,11th,Married-civ-spouse,Own-child,Female,<=50K
968-79-6067,25.0,HS-grad,Separated,Own-child,,<=50K
731-72-6043,30.0,Some-college,,Unmarried,,<=50K
625-03-0711,51.0,,Divorced,Unmarried,,<=50K
738-66-7075,17.0,,Married-civ-spouse,,Female,
000-98-2800,51.0,HS-grad,Married-civ-spouse,Husband,,
524-78-5011,53.0,Some-college,Divorced,Unmarried,Female,
619-50-2456,,,Separated,Not-in-family,,
065-69-4103,31.0,HS-grad,Married-civ-spouse,Wife,Female,>50K
119-50-2456,20.0,Some-college,Divorced,Not-in-family,,<=50K
255-71-2530,39.0,Doctorate,Married-civ-spouse,Husband,,
185-50-3685,69.0,,Married-civ-spouse,Husband,,
592-84-3979,26.0,Masters,,Not-in-family,Male,
685-19-6559,41.0,Bachelors,Divorced,Unmarried,Female,<=50K
295-66-9532,38.0,Assoc-acdm,Never-married,Not-in-family,,<=50K
593-67-3218,28.0,Some-college,Divorced,Not-in-family,Male,<=50K
616-67-6903,48.0,Assoc-acdm,Divorced,Not-in-family,,
766-18-5502,46.0,HS-grad,,Husband,,<=50K
426-35-1350,42.0,,Married-civ-spouse,,,
210-01-2284,41.0,HS-grad,Never-married,Not-in-family,,<=50K
812-89-9262,20.0,11th,Never-married,Own-child,Female,
488-69-7788,32.0,Bachelors,Married-civ-spouse,Husband,Male,
029-33-0466,21.0,,Married-civ-spouse,,,<=50K
277-88-6977,44.0,Bachelors,Married-civ-spouse,Wife,Female,>50K
853-37-8377,,HS-grad,Divorced,Unmarried,Male,<=50K
937-99-1399,40.0,,Never-married,Unmarried,Female,<=50K
974-81-5723,43.0,HS-grad,Married-civ-spouse,,Male,<=50K
548-71-0073,,Bachelors,,Wife,Female,<=50K
809-88-9434,,Bachelors,Married-civ-spouse,Husband,,<=50K
368-39-6805,22.0,10th,,Husband,Male,
163-29-8525,33.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
281-57-2481,33.0,,,Wife,,
233-87-5921,37.0,Some-college,,Unmarried,,<=50K
468-36-6092,,Assoc-acdm,Never-married,,Female,
