ssn,age,education,marital-status,relationship,sex,income
684-21-3758,84,10th,Widowed,Other-relative,Male,<=50K
274-87-7149,39,Prof-school,Separated,Other-relative,Female,>50K
240-72-4815,9,HS-grad,Divorced,Own-child,Female,<=50K
506-91-0318,34,Masters,Separated,Husband,Male,<=50K
587-83-7837,91,9th,Widowed,Wife,Male,<=50K
378-34-7665,4,Prof-school,Never-married,Husband,Female,<=50K
878-04-0539,66,1st-4th,Never-married,Own-child,Female,<=50K
307-12-5306,11,HS-grad,Separated,Other-relative,Female,>50K
876-22-8500,16,7th-8th,Married-AF-spouse,Husband,Male,<=50K
744-37-9606,78,HS-grad,Married-civ-spouse,Wife,Female,>50K
375-52-2112,46,1st-4th,Married-AF-spouse,Own-child,Male,<=50K
025-21-4987,34,Some-college,Never-married,Unmarried,Male,<=50K
768-18-1817,85,Assoc-voc,Never-married,Other-relative,Male,<=50K
754-88-3291,9,1st-4th,Never-married,Not-in-family,Male,>50K
899-72-3586,23,10th,Married-AF-spouse,Unmarried,Female,>50K
146-28-3783,46,9th,Separated,Not-in-family,Female,>50K
318-51-9655,30,Bachelors,Widowed,Own-child,Male,<=50K
213-88-2063,88,Preschool,Divorced,Own-child,Female,>50K
304-26-9041,63,9th,Married-spouse-absent,Not-in-family,Male,<=50K
939-61-9163,1,HS-grad,Married-civ-spouse,Other-relative,Male,<=50K
879-45-3316,96,Some-college,Divorced,Other-relative,Male,>50K
885-10-4421,73,Assoc-acdm,Never-married,Not-in-family,Male,<=50K
828-62-4077,65,11th,Married-civ-spouse,Other-relative,Female,>50K
680-22-1129,67,11th,Widowed,Other-relative,Female,>50K
670-76-1670,70,10th,Married-civ-spouse,Unmarried,Male,>50K
470-94-5945,88,10th,Married-civ-spouse,Not-in-family,Female,<=50K
626-81-2038,60,12th,Divorced,Wife,Male,<=50K
113-48-2800,3,Doctorate,Widowed,Unmarried,Female,<=50K
046-77-5184,53,Preschool,Never-married,Husband,Female,<=50K
455-55-8967,65,Prof-school,Separated,Not-in-family,Male,>50K
177-36-4864,86,12th,Separated,Own-child,Male,<=50K
883-10-8107,1,1st-4th,Married-spouse-absent,Own-child,Female,>50K
029-51-4741,0,HS-grad,Married-spouse-absent,Unmarried,Female,<=50K
766-86-1178,54,Bachelors,Never-married,Other-relative,Male,<=50K
202-54-9139,76,HS-grad,Never-married,Husband,Female,>50K
954-05-4053,67,Prof-school,Separated,Husband,Male,>50K
896-40-6633,12,Prof-school,Widowed,Not-in-family,Male,>50K
002-27-2727,55,5th-6th,Widowed,Wife,Male,>50K
621-03-8082,37,11th,Married-spouse-absent,Other-relative,Female,>50K
738-14-4962,14,7th-8th,Widowed,Husband,Female,<=50K
948-06-5109,45,12th,Separated,Other-relative,Female,<=50K
332-64-7419,37,9th,Separated,Unmarried,Male,>50K
074-14-0049,55,Some-college,Divorced,Wife,Female,<=50K
875-79-8524,81,7th-8th,Divorced,Not-in-family,Male,<=50K
354-48-4029,50,9th,Separated,Own-child,Female,<=50K
969-96-3143,39,HS-grad,Married-spouse-absent,Wife,Male,>50K
699-01-7198,72,HS-grad,Divorced,Own-child,Male,>50K
683-69-1645,45,Assoc-acdm,Married-AF-spouse,Wife,Male,>50K
433-20-0245,96,10th,Widowed,Not-in-family,Male,>50K
752-82-5552,24,11th,Widowed,Own-child,Male,<=50K
129-85-2579,33,Some-college,Married-civ-spouse,Wife,Male,>50K
623-92-5060,53,1st-4th,Divorced,Wife,Female,>50K
238-23-7100,59,1st-4th,Married-AF-spouse,Wife,Female,<=50K
427-67-1989,31,1st-4th,Married-AF-spouse,Not-in-family,Female,<=50K
740-75-5527,1,12th,Married-spouse-absent,Wife,Female,<=50K
423-49-5085,93,Assoc-acdm,Divorced,Unmarried,Female,<=50K
674-84-6436,36,1st-4th,Separated,Other-relative,Female,<=50K
130-43-6117,49,1st-4th,Separated,Wife,Female,<=50K
210-93-3660,62,Prof-school,Married-spouse-absent,Other-relative,Male,>50K
409-39-8033,98,Assoc-voc,Widowed,Husband,Female,<=50K
085-81-0810,37,Prof-school,Married-civ-spouse,Husband,Female,>50K
357-70-8844,58,Masters,Married-AF-spouse,Not-in-family,Male,>50K
668-48-8942,4,10th,Married-AF-spouse,Wife,Male,<=50K
402-42-6289,96,HS-grad,Separated,Not-in-family,Female,<=50K
785-56-5109,3,11th,Separated,Own-child,Male,>50K
444-13-3906,99,HS-grad,Married-AF-spouse,Other-relative,Male,>50K
160-04-2997,14,Bachelors,Never-married,Other-relative,Male,>50K
022-81-9410,61,7th-8th,Separated,Own-child,Male,<=50K
663-05-2824,4,9th,Never-married,Other-relative,Male,>50K
633-66-0933,6,Masters,Married-AF-spouse,Not-in-family,Female,<=50K
947-32-8008,35,Assoc-acdm,Married-AF-spouse,Own-child,Female,>50K
870-48-5257,53,7th-8th,Married-spouse-absent,Husband,Female,<=50K
455-62-0392,27,Preschool,Married-civ-spouse,Husband,Female,>50K
517-65-9704,61,Assoc-acdm,Never-married,Not-in-family,Female,>50K
480-49-7542,45,Prof-school,Married-civ-spouse,Own-child,Male,<=50K
433-04-6682,8,Bachelors,Married-AF-spouse,Wife,Female,<=50K
745-76-1670,65,Assoc-voc,Married-spouse-absent,Own-child,Female,<=50K
798-03-4397,43,1st-4th,Separated,Wife,Female,<=50K
229-45-3316,63,Bachelors,Never-married,Unmarried,Male,>50K
792-47-5429,32,9th,Divorced,Unmarried,Female,<=50K
683-38-4520,23,Assoc-voc,Divorced,Unmarried,Male,<=50K
476-35-1350,25,9th,Never-married,Wife,Male,>50K
170-94-5945,66,Prof-school,Married-civ-spouse,Unmarried,Male,<=50K
860-81-0809,35,HS-grad,Married-civ-spouse,Husband,Male,>50K
356-63-3906,92,Doctorate,Never-married,Own-child,Male,>50K
564-52-7026,75,9th,Married-spouse-absent,Husband,Male,>50K
439-25-0613,50,Masters,Widowed,Other-relative,Male,>50K
667-87-4692,49,Assoc-voc,Divorced,Unmarried,Male,>50K
698-34-1522,65,Some-college,Widowed,Not-in-family,Male,>50K
825-92-1375,37,Preschool,Widowed,Not-in-family,Female,<=50K
439-12-7763,28,Bachelors,Widowed,Other-relative,Female,<=50K
058-99-8771,5,11th,Married-AF-spouse,Unmarried,Male,>50K
027-27-2727,62,10th,Married-civ-spouse,Wife,Male,>50K
599-50-8598,97,Assoc-voc,Widowed,Not-in-family,Male,>50K
549-81-5724,49,Masters,Widowed,Other-relative,Male,>50K
668-45-8230,90,Doctorate,Married-AF-spouse,Own-child,Female,<=50K
420-45-4545,8,12th,Separated,Husband,Female,<=50K
309-58-2309,38,Doctorate,Never-married,Wife,Male,<=50K
449-29-3611,40,Bachelors,Married-AF-spouse,Unmarried,Female,>50K
433-96-8058,12,7th-8th,Married-AF-spouse,Other-relative,Female,<=50K
029-45-3316,79,Doctorate,Married-AF-spouse,Wife,Female,>50K
721-95-9458,47,9th,Married-spouse-absent,Wife,Female,<=50K
432-86-2407,86,Some-college,Never-married,Wife,Female,<=50K
365-78-6240,10,Prof-school,Married-civ-spouse,Wife,Male,<=50K
512-62-2849,35,Preschool,Separated,Not-in-family,Male,<=50K
507-24-8156,19,Assoc-acdm,Separated,Unmarried,Male,<=50K
328-96-1916,34,11th,Married-civ-spouse,Wife,Male,<=50K
913-08-3537,56,11th,Separated,Husband,Male,>50K
475-92-1375,9,7th-8th,Married-civ-spouse,Unmarried,Male,>50K
676-75-0613,89,Prof-school,Married-AF-spouse,Wife,Female,>50K
345-48-5257,52,12th,Separated,Wife,Male,<=50K
971-95-9458,70,Masters,Married-spouse-absent,Unmarried,Male,>50K
833-13-8819,39,Preschool,Married-spouse-absent,Not-in-family,Female,>50K
875-98-2800,75,Bachelors,Divorced,Unmarried,Female,>50K
437-80-7124,12,10th,Widowed,Wife,Female,<=50K
359-76-6584,98,10th,Married-civ-spouse,Own-child,Male,>50K
776-81-2038,32,Prof-school,Divorced,Husband,Female,<=50K
839-80-3438,53,12th,Married-spouse-absent,Wife,Female,>50K
797-38-9434,80,Prof-school,Separated,Own-child,Male,<=50K
641-64-6191,67,11th,Separated,Husband,Male,>50K
996-43-7345,78,HS-grad,Married-civ-spouse,Unmarried,Female,>50K
353-62-4078,100,5th-6th,Married-spouse-absent,Own-child,Female,>50K
330-34-3980,55,12th,Married-civ-spouse,Other-relative,Male,<=50K
060-28-8697,81,Assoc-voc,Never-married,Wife,Female,<=50K
289-89-5577,73,Prof-school,Separated,Husband,Male,<=50K
073-24-9385,61,Prof-school,Married-spouse-absent,Wife,Female,>50K
809-58-2308,34,10th,Widowed,Not-in-family,Male,>50K
080-89-6805,27,Some-college,Married-civ-spouse,Wife,Male,<=50K
772-72-7271,28,1st-4th,Married-AF-spouse,Own-child,Female,>50K
978-00-9827,45,10th,Widowed,Not-in-family,Male,<=50K
370-27-0269,10,Assoc-acdm,Married-spouse-absent,Own-child,Female,<=50K
067-59-8280,5,7th-8th,Married-spouse-absent,Husband,Male,>50K
150-42-9975,95,12th,Widowed,Husband,Male,<=50K
401-75-0613,79,Some-college,Widowed,Not-in-family,Female,>50K
601-96-5601,44,HS-grad,Widowed,Not-in-family,Female,>50K
269-34-8894,77,Assoc-voc,Never-married,Other-relative,Male,<=50K
386-85-5036,55,1st-4th,Married-AF-spouse,Other-relative,Female,>50K
575-58-3537,70,HS-grad,Widowed,Unmarried,Female,<=50K
767-19-9016,15,Bachelors,Never-married,Wife,Female,>50K
408-90-6633,7,12th,Never-married,Unmarried,Male,>50K
196-95-9459,82,Preschool,Married-AF-spouse,Own-child,Male,<=50K
735-53-4397,37,10th,Married-civ-spouse,Own-child,Female,>50K
530-89-6805,25,Bachelors,Never-married,Husband,Male,<=50K
067-93-6117,59,9th,Married-spouse-absent,Own-child,Female,<=50K
378-93-1203,28,7th-8th,Divorced,Not-in-family,Female,<=50K
687-80-7124,50,Bachelors,Married-civ-spouse,Unmarried,Female,<=50K
751-35-1350,90,Prof-school,Married-civ-spouse,Husband,Male,>50K
344-44-1031,72,7th-8th,Widowed,Own-child,Male,>50K
271-80-5896,47,Preschool,Widowed,Not-in-family,Male,>50K
769-50-2456,59,Assoc-voc,Married-AF-spouse,Husband,Male,<=50K
980-09-8279,29,Some-college,Married-AF-spouse,Other-relative,Female,<=50K
417-29-1154,19,1st-4th,Separated,Wife,Female,<=50K
018-94-9631,35,Some-college,Divorced,Husband,Male,<=50K
447-54-2997,57,11th,Divorced,Other-relative,Female,>50K
080-46-6830,35,Prof-school,Married-AF-spouse,Husband,Female,<=50K
943-42-7517,29,Masters,Widowed,Unmarried,Female,>50K
545-85-3807,80,12th,Never-married,Wife,Male,<=50K
341-73-8328,68,HS-grad,Married-spouse-absent,Not-in-family,Male,<=50K
009-98-1572,99,11th,Married-AF-spouse,Other-relative,Female,>50K
925-89-0662,50,10th,Separated,Own-child,Female,<=50K
987-56-1424,48,1st-4th,Married-spouse-absent,Not-in-family,Female,>50K
162-43-8574,63,10th,Separated,Own-child,Male,<=50K
394-34-8893,36,Bachelors,Married-spouse-absent,Not-in-family,Male,>50K
483-47-6657,85,Preschool,Divorced,Wife,Male,>50K
037-99-1400,3,HS-grad,Divorced,Unmarried,Male,>50K
305-06-7567,9,1st-4th,Divorced,Unmarried,Male,>50K
977-88-6976,34,1st-4th,Married-spouse-absent,Own-child,Male,<=50K
847-20-5158,50,Prof-school,Widowed,Unmarried,Female,<=50K
853-28-6239,79,1st-4th,Separated,Wife,Female,<=50K
456-63-3906,37,5th-6th,Separated,Wife,Female,>50K
908-38-4519,12,HS-grad,Divorced,Not-in-family,Female,>50K
617-44-4716,74,9th,Widowed,Own-child,Female,<=50K
802-11-9163,20,Some-college,Widowed,Unmarried,Female,>50K
670-97-6657,81,5th-6th,Widowed,Wife,Female,<=50K
791-03-1940,84,10th,Never-married,Other-relative,Male,>50K
089-28-1326,22,9th,Divorced,Wife,Male,>50K
759-21-3758,15,11th,Married-civ-spouse,Wife,Female,<=50K
851-84-2750,99,Assoc-acdm,Married-spouse-absent,Not-in-family,Female,>50K
749-63-1448,90,7th-8th,Separated,Own-child,Female,>50K
736-82-4323,2,12th,Married-civ-spouse,Not-in-family,Female,>50K
419-25-6756,19,Some-college,Divorced,Own-child,Female,>50K
282-98-5257,80,Doctorate,Divorced,Other-relative,Male,<=50K
420-94-5945,51,5th-6th,Widowed,Unmarried,Female,>50K
869-71-7443,100,Some-college,Married-AF-spouse,Not-in-family,Male,>50K
874-44-7173,78,12th,Never-married,Unmarried,Male,<=50K
385-90-2948,50,Masters,Married-civ-spouse,Other-relative,Female,>50K
850-95-2087,87,12th,Divorced,Unmarried,Female,>50K
368-79-6068,59,10th,Separated,Wife,Female,>50K
944-01-1055,43,Prof-school,Married-AF-spouse,Own-child,Male,<=50K
415-60-1965,4,Preschool,Married-civ-spouse,Unmarried,Female,<=50K
139-71-1302,50,Prof-school,Married-civ-spouse,Other-relative,Female,<=50K
630-31-3267,10,Assoc-acdm,Divorced,Not-in-family,Male,<=50K
470-17-8132,30,Assoc-voc,Widowed,Other-relative,Male,>50K
558-29-2382,32,11th,Widowed,Husband,Female,<=50K
146-13-0220,36,9th,Widowed,Other-relative,Female,<=50K
839-58-8451,18,5th-6th,Married-AF-spouse,Not-in-family,Male,>50K
013-48-2800,23,5th-6th,Separated,Other-relative,Female,<=50K
949-90-7861,90,7th-8th,Married-AF-spouse,Unmarried,Female,<=50K
894-80-9581,47,Bachelors,Never-married,Husband,Female,>50K
707-30-9581,35,11th,Married-civ-spouse,Wife,Female,>50K
128-47-0515,48,1st-4th,Separated,Husband,Male,<=50K
355-06-7567,44,Bachelors,Married-civ-spouse,Not-in-family,Female,<=50K
999-14-0048,61,Bachelors,Married-civ-spouse,Other-relative,Female,<=50K
008-47-6658,95,Some-college,Married-spouse-absent,Other-relative,Male,<=50K
158-63-0220,26,Some-college,Widowed,Own-child,Female,<=50K
356-75-6756,46,7th-8th,Married-AF-spouse,Own-child,Male,>50K
235-04-2997,33,7th-8th,Never-married,Own-child,Male,<=50K
331-01-9655,56,Doctorate,Divorced,Own-child,Female,>50K
074-04-7911,71,9th,Separated,Husband,Male,>50K
853-99-2628,40,Assoc-acdm,Widowed,Wife,Male,<=50K
840-69-4102,18,Preschool,Married-civ-spouse,Wife,Male,<=50K
645-57-7394,31,12th,Separated,Not-in-family,Female,>50K
642-75-1842,63,Assoc-voc,Married-AF-spouse,Other-relative,Male,<=50K
126-10-5650,30,Assoc-voc,Married-spouse-absent,Not-in-family,Female,>50K
270-11-6707,74,Masters,Widowed,Other-relative,Female,>50K
541-70-7616,29,Assoc-voc,Married-civ-spouse,Own-child,Female,>50K
423-40-2947,83,Some-college,Divorced,Other-relative,Female,<=50K
958-07-7394,37,12th,Married-spouse-absent,Own-child,Female,>50K
578-00-9827,17,12th,Married-AF-spouse,Other-relative,Female,<=50K
027-61-0565,9,Prof-school,Separated,Other-relative,Male,<=50K
476-56-6338,14,Assoc-voc,Married-AF-spouse,Unmarried,Female,>50K
838-51-3512,7,7th-8th,Married-civ-spouse,Own-child,Male,<=50K
499-38-5748,14,Bachelors,Widowed,Own-child,Male,<=50K
202-76-4127,49,Some-college,Separated,Unmarried,Female,<=50K
950-12-2849,27,Prof-school,Married-civ-spouse,Wife,Male,<=50K
942-69-0416,27,Masters,Widowed,Unmarried,Female,>50K
008-63-0221,32,12th,Married-civ-spouse,Not-in-family,Female,>50K
